0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:36:26 +0530] "GET /FoodApplication/ShowMenu?restaurantId=1 HTTP/1.1" 200 15188
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:37:28 +0530] "GET /FoodApplication/ShowMenu?restaurantId=1 HTTP/1.1" 200 15219
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:39:41 +0530] "GET /FoodApplication/ShowMenu?restaurantId=1 HTTP/1.1" 200 15662
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:41:00 +0530] "GET /FoodApplication/ShowMenu?restaurantId=1 HTTP/1.1" 200 15858
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:41:13 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:43:37 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:43:42 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:43:55 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:44:00 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:44:04 +0530] "GET /FoodApplication/ShowMenu?restaurantId=3 HTTP/1.1" 200 14315
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:44:06 +0530] "POST /FoodApplication/AddToCartController HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:44:09 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:47:07 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 5230
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:47:14 +0530] "GET /FoodApplication/GetRestaurant HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:47:14 +0530] "GET /FoodApplication/home.jsp HTTP/1.1" 200 12642
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:51:20 +0530] "GET /FoodApplication/home.jsp HTTP/1.1" 200 12642
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:56:16 +0530] "GET /FoodApplication/home.jsp HTTP/1.1" 500 2963
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:56:36 +0530] "GET /FoodApplication/home.jsp HTTP/1.1" 200 12642
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:59:40 +0530] "GET /FoodApplication/home.jsp HTTP/1.1" 200 5651
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:59:45 +0530] "GET /FoodApplication/ShowOrderHistory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:16:59:45 +0530] "GET /FoodApplication/orderHistory.jsp HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [03/Dec/2024:17:00:08 +0530] "GET /FoodApplication/home.jsp HTTP/1.1" 200 12642
0:0:0:0:0:0:0:1 - - [03/Dec/2024:17:00:18 +0530] "GET /FoodApplication/ShowOrderHistory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:17:00:18 +0530] "GET /FoodApplication/orderHistory.jsp HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [03/Dec/2024:17:01:32 +0530] "GET /FoodApplication/orderHistory.jsp HTTP/1.1" 200 4218
0:0:0:0:0:0:0:1 - - [03/Dec/2024:17:01:50 +0530] "GET /FoodApplication/ShowMenu?restaurantId=1 HTTP/1.1" 200 15858
0:0:0:0:0:0:0:1 - - [03/Dec/2024:17:01:53 +0530] "GET /FoodApplication/ShowMenu?restaurantId=2 HTTP/1.1" 200 10906
